index_trip,hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone
702,Uber,B02877,B02877,2021-01-01T14:28:58.000Z,2021-01-01T14:32:31.000Z,2021-01-01T14:33:42.000Z,2021-01-01T14:44:01.000Z,132,76,6.06,619,24.42,0.0,0.73,2.17,0.0,,0.0,12.91,N,N,"",N,N,14.0,2021.0,1.0,1.0,1,11.51,JFK Airport,East New York
602,Uber,B02877,B02877,2021-01-30T18:22:20.000Z,2021-01-30T18:25:50.000Z,2021-01-30T18:27:25.000Z,2021-01-30T18:33:24.000Z,89,85,0.78,359,7.91,0.0,0.24,0.7,0.0,,0.0,5.39,N,N,"",N,N,18.0,2021.0,1.0,30.0,1,2.52,Flatbush/Ditmas Park,Erasmus
98,Uber,B02887,B02887,2021-01-09T04:27:32.000Z,2021-01-09T04:29:00.000Z,2021-01-09T04:31:02.000Z,2021-01-09T04:43:27.000Z,74,74,0.98,745,8.96,0.0,0.27,0.8,0.0,,5.0,7.32,N,N,"",N,N,4.0,2021.0,1.0,9.0,1,6.64,East Harlem North,East Harlem North
669,Lyft,B02510,,2021-01-30T15:01:52.000Z,,2021-01-30T15:06:07.000Z,2021-01-30T16:16:08.000Z,82,124,6.537,4201,31.85,0.0,0.87,2.56,0.0,,0.0,42.44,N,N,N,N,N,15.0,2021.0,1.0,30.0,1,-10.589998,Elmhurst,Howard Beach
686,Lyft,B02510,,2021-01-22T08:39:47.000Z,,2021-01-22T08:43:03.000Z,2021-01-22T08:48:41.000Z,107,137,0.336,338,7.32,0.0,0.22,0.65,2.75,,0.0,5.47,N,N,N,N,N,8.0,2021.0,1.0,22.0,1,1.8500004,Gramercy,Kips Bay
880,Uber,B02870,B02870,2021-01-12T22:22:33.000Z,2021-01-12T22:25:09.000Z,2021-01-12T22:26:55.000Z,2021-01-12T22:37:39.000Z,242,47,2.88,644,12.59,0.0,0.38,1.12,0.0,,0.0,8.57,N,N,"",N,N,22.0,2021.0,1.0,12.0,1,4.0200005,Van Nest/Morris Park,Claremont/Bathgate
224,Uber,B02764,B02764,2021-01-26T00:14:33.000Z,2021-01-26T00:17:34.000Z,2021-01-26T00:17:40.000Z,2021-01-26T00:35:58.000Z,225,85,4.21,1098,16.0,0.0,0.48,1.42,0.0,,0.0,13.83,N,N,"",N,N,0.0,2021.0,1.0,26.0,1,2.17,Stuyvesant Heights,Erasmus
900,Uber,B02888,B02888,2021-01-16T06:09:16.000Z,2021-01-16T06:11:40.000Z,2021-01-16T06:13:41.000Z,2021-01-16T06:24:35.000Z,101,265,4.03,654,15.1,0.0,0.45,1.34,0.0,,0.0,11.81,N,N,"",N,N,6.0,2021.0,1.0,16.0,1,3.29,Glen Oaks,
152,Uber,B02867,B02867,2021-01-11T08:47:21.000Z,2021-01-11T08:54:58.000Z,2021-01-11T08:55:55.000Z,2021-01-11T09:27:41.000Z,61,234,6.58,1906,59.44,0.0,1.78,5.28,2.75,,0.0,35.28,N,N,"",N,N,8.0,2021.0,1.0,11.0,0,24.16,Crown Heights North,Union Sq
495,Lyft,B02510,,2021-01-14T19:30:56.000Z,,2021-01-14T19:35:48.000Z,2021-01-14T20:15:53.000Z,117,179,22.053,2405,59.76,1.34,1.83,5.42,0.0,,0.0,44.62,N,N,N,N,N,19.0,2021.0,1.0,14.0,1,15.139999,Hammels/Arverne,Old Astoria
135,Uber,B02879,B02879,2021-01-14T05:40:00.000Z,2021-01-14T05:41:11.000Z,2021-01-14T05:41:11.000Z,2021-01-14T06:11:00.000Z,168,244,7.13,1789,17.39,0.0,0.52,1.54,0.0,,0.0,22.84,N,N,"",N,N,5.0,2021.0,1.0,14.0,1,-5.450001,Mott Haven/Port Morris,Washington Heights South
790,Uber,B02875,B02875,2021-01-28T18:38:03.000Z,2021-01-28T18:45:48.000Z,2021-01-28T18:47:27.000Z,2021-01-28T19:04:15.000Z,40,125,4.45,1008,22.15,6.12,0.85,2.51,2.75,,0.0,13.35,N,N,"",N,N,18.0,2021.0,1.0,28.0,0,8.799999,Carroll Gardens,Hudson Sq
503,Uber,B02884,B02884,2021-01-24T01:13:38.000Z,2021-01-24T01:16:36.000Z,2021-01-24T01:18:35.000Z,2021-01-24T01:32:34.000Z,152,246,5.22,839,18.89,0.0,0.57,1.68,2.75,,4.0,13.12,N,N,"",N,N,1.0,2021.0,1.0,24.0,1,9.7699995,Manhattanville,West Chelsea/Hudson Yards
302,Uber,B02883,B02883,2021-01-04T04:42:14.000Z,2021-01-04T04:44:09.000Z,2021-01-04T04:46:10.000Z,2021-01-04T05:04:38.000Z,92,17,12.08,1108,31.87,0.0,0.96,2.83,0.0,,0.0,22.61,N,N,"",N,N,4.0,2021.0,1.0,4.0,1,9.26,Flushing,Bedford
389,Lyft,B02510,,2021-01-30T18:58:18.000Z,,2021-01-30T19:02:01.000Z,2021-01-30T19:29:54.000Z,53,37,12.347,1673,33.79,0.78,0.95,2.8,0.0,,0.0,27.71,N,N,N,N,N,18.0,2021.0,1.0,30.0,1,6.080002,College Point,Bushwick South
865,Uber,B02682,B02682,2021-01-11T10:15:58.000Z,2021-01-11T10:19:58.000Z,2021-01-11T10:20:38.000Z,2021-01-11T10:26:36.000Z,263,141,0.67,358,23.18,0.0,0.7,2.06,2.75,,0.0,16.65,N,N,"",N,N,10.0,2021.0,1.0,11.0,1,6.5300007,Yorkville West,Lenox Hill West
404,Uber,B02878,B02878,2021-01-29T23:51:17.000Z,2021-01-29T23:52:39.000Z,2021-01-29T23:54:40.000Z,2021-01-29T23:59:10.000Z,90,249,0.88,270,6.05,0.0,0.2,0.58,2.75,,0.0,5.6,N,N,"",N,N,23.0,2021.0,1.0,29.0,1,0.4500003,Flatiron,West Village
54,Lyft,B02510,,2021-01-05T10:04:41.000Z,,2021-01-05T10:06:54.000Z,2021-01-05T10:19:54.000Z,181,61,2.114,780,13.02,0.0,0.39,1.16,0.0,,0.0,8.88,N,N,N,N,N,10.0,2021.0,1.0,5.0,1,4.1400003,Park Slope,Crown Heights North
658,Lyft,B02510,,2021-01-20T23:35:19.000Z,,2021-01-20T23:39:27.000Z,2021-01-20T23:46:36.000Z,79,125,1.143,429,7.37,0.0,0.22,0.65,2.75,,3.0,5.47,N,N,N,N,N,23.0,2021.0,1.0,20.0,1,4.9,East Village,Hudson Sq
75,Lyft,B02510,,2021-01-09T23:47:46.000Z,,2021-01-09T23:50:04.000Z,2021-01-10T00:10:32.000Z,229,223,7.309,1228,17.87,1.06,0.57,1.68,2.75,,0.0,18.4,N,N,N,N,N,23.0,2021.0,1.0,9.0,1,-0.5299988,Sutton Place/Turtle Bay North,Steinway
338,Uber,B02875,B02875,2021-01-01T02:44:12.000Z,2021-01-01T02:45:07.000Z,2021-01-01T02:46:04.000Z,2021-01-01T02:59:27.000Z,243,69,3.5,803,15.83,0.0,0.47,1.4,0.0,,0.0,12.44,N,N,"",N,N,2.0,2021.0,1.0,1.0,1,3.3900003,Washington Heights North,East Concourse/Concourse Village
632,Lyft,B02510,,2021-01-14T09:43:43.000Z,,2021-01-14T09:45:17.000Z,2021-01-14T10:13:33.000Z,181,231,4.827,1696,22.08,3.15,0.76,2.24,2.75,,0.0,19.56,N,N,N,N,N,9.0,2021.0,1.0,14.0,1,2.5200005,Park Slope,TriBeCa/Civic Center
259,Uber,B02883,B02883,2021-01-08T20:09:50.000Z,2021-01-08T20:13:21.000Z,2021-01-08T20:14:52.000Z,2021-01-08T20:36:08.000Z,248,265,10.97,1276,45.1,20.0,1.95,0.0,0.0,,0.0,29.84,N,N,"",N,N,20.0,2021.0,1.0,8.0,1,15.259998,West Farms/Bronx River,
541,Uber,B02869,B02869,2021-01-27T08:48:58.000Z,2021-01-27T08:51:11.000Z,2021-01-27T08:51:41.000Z,2021-01-27T09:00:08.000Z,174,18,1.97,507,8.14,0.0,0.24,0.72,0.0,,0.0,6.43,N,N,"",N,N,8.0,2021.0,1.0,27.0,1,1.7100005,Norwood,Bedford Park
287,Lyft,B02510,,2021-01-04T06:10:52.000Z,,2021-01-04T06:12:56.000Z,2021-01-04T06:27:35.000Z,79,161,2.909,879,11.83,0.0,0.36,1.05,2.75,,0.0,10.6,N,N,N,N,N,6.0,2021.0,1.0,4.0,1,1.2299995,East Village,Midtown Center
905,Lyft,B02510,,2021-01-06T14:40:09.000Z,,2021-01-06T14:47:45.000Z,2021-01-06T14:54:14.000Z,251,156,1.541,389,8.02,0.0,0.24,0.71,0.0,,0.0,5.47,N,N,N,N,N,14.0,2021.0,1.0,6.0,0,2.5500007,Westerleigh,Mariners Harbor
