pickup_zone,source,total_sales_zone,year,hour
Kips Bay,uber_trips_clean,5.970000267028809,,
Kips Bay,uber_trips_prod,5.970000267028809,,
Crown Heights North,uber_trips_clean,1.4200000762939453,,
Crown Heights North,uber_trips_prod,1.4200000762939453,,
Williamsburg (North Side),uber_trips_clean,1.3400006294250488,,
Williamsburg (North Side),uber_trips_prod,1.3400006294250488,,
Central Harlem,uber_trips_clean,-0.019998550415039062,,
Central Harlem,uber_trips_prod,-0.019998550415039062,,
Bay Ridge,uber_trips_prod,-0.3900003433227539,,
Bay Ridge,uber_trips_clean,-0.3900003433227539,,
