pickup_zone,source,total_sales_zone,year,hour
Sutton Place/Turtle Bay North,uber_trips_clean,14.480001449584961,,
Sutton Place/Turtle Bay North,uber_trips_prod,14.480001449584961,,
Morningside Heights,uber_trips_clean,10.0,,
Morningside Heights,uber_trips_prod,10.0,,
Upper East Side North,uber_trips_clean,7.059999465942383,,
Upper East Side North,uber_trips_prod,7.059999465942383,,
Longwood,uber_trips_clean,0.3299999237060547,,
Longwood,uber_trips_prod,0.3299999237060547,,
Brownsville,uber_trips_clean,0.1099996566772461,,
Brownsville,uber_trips_prod,0.1099996566772461,,
