index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
120,2021-01-27T15:37:44+00:00,2021-01-27T15:42:29+00:00,2021-01-27T16:07:52+00:00,147,92,22.84,0.0,22.51,,,,,,0.32999992,Longwood,Flushing,uber_trips_clean,2025-12-16T00:22:02.019733+00:00
120,2021-01-27T15:37:44+00:00,2021-01-27T15:42:29+00:00,2021-01-27T16:07:52+00:00,147,92,22.84,0.0,22.51,,,,,,0.32999992,Longwood,Flushing,uber_trips_prod,2025-12-16T00:22:02.022251+00:00
504,2021-01-02T19:23:09+00:00,2021-01-02T19:26:09+00:00,2021-01-02T19:47:52+00:00,236,234,22.74,0.0,15.68,,,,,,7.0599995,Upper East Side North,Union Sq,uber_trips_clean,2025-12-16T00:22:07.028452+00:00
504,2021-01-02T19:23:09+00:00,2021-01-02T19:26:09+00:00,2021-01-02T19:47:52+00:00,236,234,22.74,0.0,15.68,,,,,,7.0599995,Upper East Side North,Union Sq,uber_trips_prod,2025-12-16T00:22:07.029335+00:00
729,2021-01-26T17:18:19+00:00,2021-01-26T17:24:12+00:00,2021-01-26T17:51:11+00:00,229,129,30.95,0.0,16.47,,,,,,14.480001,Sutton Place/Turtle Bay North,Jackson Heights,uber_trips_clean,2025-12-16T00:22:12.030973+00:00
729,2021-01-26T17:18:19+00:00,2021-01-26T17:24:12+00:00,2021-01-26T17:51:11+00:00,229,129,30.95,0.0,16.47,,,,,,14.480001,Sutton Place/Turtle Bay North,Jackson Heights,uber_trips_prod,2025-12-16T00:22:12.032916+00:00
219,2021-01-20T14:35:45+00:00,2021-01-20T14:41:12+00:00,2021-01-20T14:53:46+00:00,35,76,8.96,0.0,8.85,,,,,,0.10999966,Brownsville,East New York,uber_trips_clean,2025-12-16T00:22:17.037108+00:00
219,2021-01-20T14:35:45+00:00,2021-01-20T14:41:12+00:00,2021-01-20T14:53:46+00:00,35,76,8.96,0.0,8.85,,,,,,0.10999966,Brownsville,East New York,uber_trips_prod,2025-12-16T00:22:17.039617+00:00
695,2021-01-31T10:03:00+00:00,2021-01-31T10:05:47+00:00,2021-01-31T10:22:24+00:00,166,247,19.49,3.26,12.75,,,,,,10.0,Morningside Heights,West Concourse,uber_trips_clean,2025-12-16T00:22:22.046412+00:00
695,2021-01-31T10:03:00+00:00,2021-01-31T10:05:47+00:00,2021-01-31T10:22:24+00:00,166,247,19.49,3.26,12.75,,,,,,10.0,Morningside Heights,West Concourse,uber_trips_prod,2025-12-16T00:22:22.045866+00:00
