index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
475,2021-01-23T16:53:25+00:00,2021-01-23T16:56:53+00:00,2021-01-23T17:10:07+00:00,130,197,12.41,0.0,9.6,,,,,,2.8099995,Jamaica,Richmond Hill,uber_trips_prod,2025-12-16T00:27:00.568057+00:00
475,2021-01-23T16:53:25+00:00,2021-01-23T16:56:53+00:00,2021-01-23T17:10:07+00:00,130,197,12.41,0.0,9.6,,,,,,2.8099995,Jamaica,Richmond Hill,uber_trips_clean,2025-12-16T00:27:00.570918+00:00
140,2021-01-21T11:53:32+00:00,2021-01-21T11:55:25+00:00,2021-01-21T12:08:31+00:00,153,169,12.9,0.0,9.2,,,,,,3.6999998,Marble Hill,Mount Hope,uber_trips_prod,2025-12-16T00:27:05.573897+00:00
140,2021-01-21T11:53:32+00:00,2021-01-21T11:55:25+00:00,2021-01-21T12:08:31+00:00,153,169,12.9,0.0,9.2,,,,,,3.6999998,Marble Hill,Mount Hope,uber_trips_clean,2025-12-16T00:27:05.575573+00:00
308,2021-01-29T20:13:18+00:00,2021-01-29T20:18:02+00:00,2021-01-29T20:36:16+00:00,143,107,16.23,0.0,13.89,,,,,,2.3399992,Lincoln Square West,Gramercy,uber_trips_prod,2025-12-16T00:27:10.576115+00:00
308,2021-01-29T20:13:18+00:00,2021-01-29T20:18:02+00:00,2021-01-29T20:36:16+00:00,143,107,16.23,0.0,13.89,,,,,,2.3399992,Lincoln Square West,Gramercy,uber_trips_clean,2025-12-16T00:27:10.578239+00:00
782,2021-01-24T17:11:37+00:00,2021-01-24T17:12:23+00:00,2021-01-24T17:22:30+00:00,238,237,6.64,0.0,7.15,,,,,,-0.5100002,Upper West Side North,Upper East Side South,uber_trips_clean,2025-12-16T00:27:15.581110+00:00
782,2021-01-24T17:11:37+00:00,2021-01-24T17:12:23+00:00,2021-01-24T17:22:30+00:00,238,237,6.64,0.0,7.15,,,,,,-0.5100002,Upper West Side North,Upper East Side South,uber_trips_prod,2025-12-16T00:27:15.598843+00:00
860,2021-01-26T14:54:39+00:00,2021-01-26T14:55:39+00:00,2021-01-26T15:05:11+00:00,169,47,6.74,0.0,6.05,,,,,,0.6899996,Mount Hope,Claremont/Bathgate,uber_trips_clean,2025-12-16T00:27:20.583777+00:00
860,2021-01-26T14:54:39+00:00,2021-01-26T14:55:39+00:00,2021-01-26T15:05:11+00:00,169,47,6.74,0.0,6.05,,,,,,0.6899996,Mount Hope,Claremont/Bathgate,uber_trips_prod,2025-12-16T00:27:20.601188+00:00
