index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
769,2021-01-23T14:58:48+00:00,2021-01-23T15:02:30+00:00,2021-01-23T15:12:34+00:00,170,237,6.36,0.0,6.94,,,,,,-0.5799999,Murray Hill,Upper East Side South,uber_trips_prod,2025-12-16T00:35:02.964950+00:00
23,2021-01-16T13:52:42+00:00,2021-01-16T13:59:17+00:00,2021-01-16T14:08:29+00:00,136,169,8.93,0.0,5.92,,,,,,3.0100002,Kingsbridge Heights,Mount Hope,uber_trips_prod,2025-12-16T00:35:08.066193+00:00
769,2021-01-23T14:58:48+00:00,2021-01-23T15:02:30+00:00,2021-01-23T15:12:34+00:00,170,237,6.36,0.0,6.94,,,,,,-0.5799999,Murray Hill,Upper East Side South,uber_trips_clean,2025-12-16T00:35:02.963293+00:00
23,2021-01-16T13:52:42+00:00,2021-01-16T13:59:17+00:00,2021-01-16T14:08:29+00:00,136,169,8.93,0.0,5.92,,,,,,3.0100002,Kingsbridge Heights,Mount Hope,uber_trips_clean,2025-12-16T00:35:08.063374+00:00
114,2021-01-29T15:38:44+00:00,2021-01-29T15:43:02+00:00,2021-01-29T16:01:54+00:00,11,67,13.63,0.0,13.77,,,,,,-0.14000034,Bath Beach,Dyker Heights,uber_trips_prod,2025-12-16T00:35:13.068144+00:00
114,2021-01-29T15:38:44+00:00,2021-01-29T15:43:02+00:00,2021-01-29T16:01:54+00:00,11,67,13.63,0.0,13.77,,,,,,-0.14000034,Bath Beach,Dyker Heights,uber_trips_clean,2025-12-16T00:35:13.069134+00:00
660,2021-01-28T07:27:32+00:00,2021-01-28T07:31:20+00:00,2021-01-28T08:09:31+00:00,130,80,23.54,0.0,31.33,,,,,,-7.789999,Jamaica,East Williamsburg,uber_trips_prod,2025-12-16T00:35:18.076483+00:00
660,2021-01-28T07:27:32+00:00,2021-01-28T07:31:20+00:00,2021-01-28T08:09:31+00:00,130,80,23.54,0.0,31.33,,,,,,-7.789999,Jamaica,East Williamsburg,uber_trips_clean,2025-12-16T00:35:18.081118+00:00
893,2021-01-03T14:49:15+00:00,2021-01-03T14:52:49+00:00,2021-01-03T15:04:46+00:00,45,148,10.39,0.0,12.95,,,,,,-2.5599995,Chinatown,Lower East Side,uber_trips_prod,2025-12-16T00:35:23.079529+00:00
893,2021-01-03T14:49:15+00:00,2021-01-03T14:52:49+00:00,2021-01-03T15:04:46+00:00,45,148,10.39,0.0,12.95,,,,,,-2.5599995,Chinatown,Lower East Side,uber_trips_clean,2025-12-16T00:35:23.082633+00:00
