index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
662,2021-01-11T01:30:50+00:00,2021-01-11T01:34:23+00:00,2021-01-11T01:48:36+00:00,76,91,14.3,0.0,11.05,,,,,,3.25,East New York,Flatlands,uber_trips_clean,2025-12-16T00:38:48.187433+00:00
662,2021-01-11T01:30:50+00:00,2021-01-11T01:34:23+00:00,2021-01-11T01:48:36+00:00,76,91,14.3,0.0,11.05,,,,,,3.25,East New York,Flatlands,uber_trips_prod,2025-12-16T00:38:48.189425+00:00
255,2021-01-12T20:45:52+00:00,2021-01-12T20:52:28+00:00,2021-01-12T21:04:31+00:00,169,126,8.95,0.0,9.91,,,,,,-0.96000004,Mount Hope,Hunts Point,uber_trips_clean,2025-12-16T00:38:53.190479+00:00
255,2021-01-12T20:45:52+00:00,2021-01-12T20:52:28+00:00,2021-01-12T21:04:31+00:00,169,126,8.95,0.0,9.91,,,,,,-0.96000004,Mount Hope,Hunts Point,uber_trips_prod,2025-12-16T00:38:53.192115+00:00
331,2021-01-18T21:47:17+00:00,2021-01-18T21:50:13+00:00,2021-01-18T22:22:54+00:00,106,131,41.6,0.0,32.11,,,,,,9.489998,Gowanus,Jamaica Estates,uber_trips_prod,2025-12-16T00:38:58.192505+00:00
331,2021-01-18T21:47:17+00:00,2021-01-18T21:50:13+00:00,2021-01-18T22:22:54+00:00,106,131,41.6,0.0,32.11,,,,,,9.489998,Gowanus,Jamaica Estates,uber_trips_clean,2025-12-16T00:38:58.193621+00:00
129,2021-01-30T06:40:09+00:00,2021-01-30T06:45:14+00:00,2021-01-30T06:54:44+00:00,56,83,9.25,0.0,7.2,,,,,,2.0500002,Corona,Elmhurst/Maspeth,uber_trips_prod,2025-12-16T00:39:03.193977+00:00
129,2021-01-30T06:40:09+00:00,2021-01-30T06:45:14+00:00,2021-01-30T06:54:44+00:00,56,83,9.25,0.0,7.2,,,,,,2.0500002,Corona,Elmhurst/Maspeth,uber_trips_clean,2025-12-16T00:39:03.194677+00:00
530,2021-01-21T15:32:45+00:00,2021-01-21T15:39:39+00:00,2021-01-21T16:09:17+00:00,138,16,25.89,0.0,22.37,,,,,,3.5199986,LaGuardia Airport,Bayside,uber_trips_prod,2025-12-16T00:39:08.195867+00:00
530,2021-01-21T15:32:45+00:00,2021-01-21T15:39:39+00:00,2021-01-21T16:09:17+00:00,138,16,25.89,0.0,22.37,,,,,,3.5199986,LaGuardia Airport,Bayside,uber_trips_clean,2025-12-16T00:39:08.197708+00:00
