index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
987,2021-01-03T06:34:26+00:00,2021-01-03T06:39:19+00:00,2021-01-03T06:50:13+00:00,218,265,18.06,0.0,13.03,,,,,,5.0299997,Springfield Gardens North,,uber_trips_clean,2025-12-16T00:56:43.741629+00:00
878,2021-01-16T15:49:11+00:00,2021-01-16T15:53:02+00:00,2021-01-16T16:07:59+00:00,87,107,19.93,0.0,12.28,,,,,,7.6500006,Financial District North,Gramercy,uber_trips_clean,2025-12-16T00:56:48.743681+00:00
987,2021-01-03T06:34:26+00:00,2021-01-03T06:39:19+00:00,2021-01-03T06:50:13+00:00,218,265,18.06,0.0,13.03,,,,,,5.0299997,Springfield Gardens North,,uber_trips_prod,2025-12-16T00:56:43.739012+00:00
878,2021-01-16T15:49:11+00:00,2021-01-16T15:53:02+00:00,2021-01-16T16:07:59+00:00,87,107,19.93,0.0,12.28,,,,,,7.6500006,Financial District North,Gramercy,uber_trips_prod,2025-12-16T00:56:48.748819+00:00
110,2021-01-30T14:34:31+00:00,2021-01-30T14:36:39+00:00,2021-01-30T14:48:24+00:00,212,252,7.86,0.0,11.37,,,,,,-3.5099998,Soundview/Bruckner,Whitestone,uber_trips_clean,2025-12-16T00:56:53.750511+00:00
110,2021-01-30T14:34:31+00:00,2021-01-30T14:36:39+00:00,2021-01-30T14:48:24+00:00,212,252,7.86,0.0,11.37,,,,,,-3.5099998,Soundview/Bruckner,Whitestone,uber_trips_prod,2025-12-16T00:56:53.750980+00:00
91,2021-01-11T19:11:07+00:00,2021-01-11T19:14:00+00:00,2021-01-11T19:23:21+00:00,37,225,7.38,0.0,6.4,,,,,,0.98,Bushwick South,Stuyvesant Heights,uber_trips_clean,2025-12-16T00:56:58.752275+00:00
91,2021-01-11T19:11:07+00:00,2021-01-11T19:14:00+00:00,2021-01-11T19:23:21+00:00,37,225,7.38,0.0,6.4,,,,,,0.98,Bushwick South,Stuyvesant Heights,uber_trips_prod,2025-12-16T00:56:58.754075+00:00
128,2021-01-12T23:36:22+00:00,2021-01-12T23:39:51+00:00,2021-01-12T23:54:14+00:00,137,97,20.16,0.0,14.19,,,,,,5.9700003,Kips Bay,Fort Greene,uber_trips_clean,2025-12-16T00:57:03.754991+00:00
128,2021-01-12T23:36:22+00:00,2021-01-12T23:39:51+00:00,2021-01-12T23:54:14+00:00,137,97,20.16,0.0,14.19,,,,,,5.9700003,Kips Bay,Fort Greene,uber_trips_prod,2025-12-16T00:57:03.755361+00:00
