index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
819,2021-01-31T16:12:36+00:00,2021-01-31T16:24:12+00:00,2021-01-31T16:55:39+00:00,35,210,24.69,0.0,26.38,,,,,,-1.6899986,Brownsville,Sheepshead Bay,uber_trips_prod,2025-12-16T00:36:18.116001+00:00
819,2021-01-31T16:12:36+00:00,2021-01-31T16:24:12+00:00,2021-01-31T16:55:39+00:00,35,210,24.69,0.0,26.38,,,,,,-1.6899986,Brownsville,Sheepshead Bay,uber_trips_clean,2025-12-16T00:36:18.117043+00:00
310,2021-01-24T09:01:12+00:00,2021-01-24T09:03:21+00:00,2021-01-24T09:32:55+00:00,151,265,52.96,0.0,42.93,,,,,,10.029999,Manhattan Valley,,uber_trips_prod,2025-12-16T00:36:23.119962+00:00
310,2021-01-24T09:01:12+00:00,2021-01-24T09:03:21+00:00,2021-01-24T09:32:55+00:00,151,265,52.96,0.0,42.93,,,,,,10.029999,Manhattan Valley,,uber_trips_clean,2025-12-16T00:36:23.119785+00:00
849,2021-01-19T18:16:49+00:00,2021-01-19T18:19:22+00:00,2021-01-19T18:32:21+00:00,91,149,11.15,0.0,9.39,,,,,,1.7599993,Flatlands,Madison,uber_trips_prod,2025-12-16T00:36:28.121353+00:00
849,2021-01-19T18:16:49+00:00,2021-01-19T18:19:22+00:00,2021-01-19T18:32:21+00:00,91,149,11.15,0.0,9.39,,,,,,1.7599993,Flatlands,Madison,uber_trips_clean,2025-12-16T00:36:28.122712+00:00
247,2021-01-17T22:42:47+00:00,2021-01-17T22:46:16+00:00,2021-01-17T22:52:33+00:00,76,76,7.42,0.0,5.63,,,,,,1.79,East New York,East New York,uber_trips_prod,2025-12-16T00:36:33.124059+00:00
247,2021-01-17T22:42:47+00:00,2021-01-17T22:46:16+00:00,2021-01-17T22:52:33+00:00,76,76,7.42,0.0,5.63,,,,,,1.79,East New York,East New York,uber_trips_clean,2025-12-16T00:36:33.124601+00:00
796,2021-01-29T11:41:32+00:00,2021-01-29T11:45:08+00:00,2021-01-29T11:54:32+00:00,119,168,8.36,0.0,7.05,,,,,,1.3099995,Highbridge,Mott Haven/Port Morris,uber_trips_prod,2025-12-16T00:36:38.126279+00:00
796,2021-01-29T11:41:32+00:00,2021-01-29T11:45:08+00:00,2021-01-29T11:54:32+00:00,119,168,8.36,0.0,7.05,,,,,,1.3099995,Highbridge,Mott Haven/Port Morris,uber_trips_clean,2025-12-16T00:36:38.127289+00:00
