index_trip,request_datetime,pickup_datetime,dropoff_datetime,pulocationid,dolocationid,base_passenger_fare,tips,driver_pay,hour,year,month,day,on_time_pickup,uber_sales,pickup_zone,delivery_zone,source,sent_at
547,2021-01-31T22:26:18+00:00,2021-01-31T22:31:36+00:00,2021-01-31T22:34:44+00:00,232,79,10.45,0.0,8.31,,,,,,2.1399994,Two Bridges/Seward Park,East Village,uber_trips_prod,2025-12-16T00:26:10.518172+00:00
547,2021-01-31T22:26:18+00:00,2021-01-31T22:31:36+00:00,2021-01-31T22:34:44+00:00,232,79,10.45,0.0,8.31,,,,,,2.1399994,Two Bridges/Seward Park,East Village,uber_trips_clean,2025-12-16T00:26:10.498152+00:00
144,2021-01-25T18:52:13+00:00,2021-01-25T18:58:27+00:00,2021-01-25T19:13:12+00:00,82,73,18.22,0.0,12.31,,,,,,5.909999,Elmhurst,East Flushing,uber_trips_prod,2025-12-16T00:26:15.519904+00:00
144,2021-01-25T18:52:13+00:00,2021-01-25T18:58:27+00:00,2021-01-25T19:13:12+00:00,82,73,18.22,0.0,12.31,,,,,,5.909999,Elmhurst,East Flushing,uber_trips_clean,2025-12-16T00:26:15.526571+00:00
948,2021-01-02T13:11:49+00:00,2021-01-02T13:16:15+00:00,2021-01-02T13:19:29+00:00,191,191,7.28,0.0,5.47,,,,,,1.8100004,Queens Village,Queens Village,uber_trips_prod,2025-12-16T00:26:20.525068+00:00
948,2021-01-02T13:11:49+00:00,2021-01-02T13:16:15+00:00,2021-01-02T13:19:29+00:00,191,191,7.28,0.0,5.47,,,,,,1.8100004,Queens Village,Queens Village,uber_trips_clean,2025-12-16T00:26:20.530637+00:00
718,2021-01-09T08:21:35+00:00,2021-01-09T08:26:58+00:00,2021-01-09T08:36:40+00:00,98,171,10.15,0.0,7.42,,,,,,2.7299995,Fresh Meadows,Murray Hill-Queens,uber_trips_prod,2025-12-16T00:26:25.529086+00:00
718,2021-01-09T08:21:35+00:00,2021-01-09T08:26:58+00:00,2021-01-09T08:36:40+00:00,98,171,10.15,0.0,7.42,,,,,,2.7299995,Fresh Meadows,Murray Hill-Queens,uber_trips_clean,2025-12-16T00:26:25.531142+00:00
567,2021-01-15T02:43:26+00:00,2021-01-15T02:45:45+00:00,2021-01-15T02:50:59+00:00,7,223,7.91,0.0,5.4,,,,,,2.5099998,Astoria,Steinway,uber_trips_prod,2025-12-16T00:26:30.530158+00:00
567,2021-01-15T02:43:26+00:00,2021-01-15T02:45:45+00:00,2021-01-15T02:50:59+00:00,7,223,7.91,0.0,5.4,,,,,,2.5099998,Astoria,Steinway,uber_trips_clean,2025-12-16T00:26:30.531884+00:00
